id,category,difficulty_pool,label_gt,handled_locally,sentiment_label,confidence,margin,answer_tokens,judge_tokens,correct,reason
q249,sentiment_classification,hard,easy,False,escalated,0.0,0.0,299,770,False,fallback_required
q252,sentiment_classification,hard,easy,False,escalated,0.0,0.0,475,709,False,fallback_required
q257,sentiment_classification,hard,hard,False,escalated,0.0,0.0,327,790,False,fallback_required
q256,sentiment_classification,hard,hard,False,escalated,0.0,0.0,396,866,False,fallback_required
q258,sentiment_classification,hard,hard,False,escalated,0.0,0.0,376,845,False,fallback_required
q259,sentiment_classification,hard,hard,False,escalated,0.0,0.0,319,788,False,fallback_required
q253,sentiment_classification,hard,hard,False,escalated,0.0,0.0,477,805,False,fallback_required
q254,sentiment_classification,hard,easy,False,escalated,0.0,0.0,345,707,False,fallback_required
q251,sentiment_classification,hard,hard,False,escalated,0.0,0.0,246,717,False,fallback_required
q250,sentiment_classification,hard,hard,False,escalated,0.0,0.0,311,777,True,fallback_required
q261,sentiment_classification,hard,easy,False,escalated,0.0,0.0,329,800,False,fallback_required
q265,sentiment_classification,hard,easy,False,escalated,0.0,0.0,349,823,False,fallback_required
q263,sentiment_classification,hard,easy,False,escalated,0.0,0.0,355,826,False,fallback_required
q260,sentiment_classification,hard,easy,False,escalated,0.0,0.0,344,815,False,fallback_required
q269,sentiment_classification,hard,hard,False,escalated,0.0,0.0,400,809,False,fallback_required
q266,sentiment_classification,hard,easy,False,escalated,0.0,0.0,394,865,False,fallback_required
q264,sentiment_classification,hard,hard,False,escalated,0.0,0.0,363,837,False,fallback_required
q267,sentiment_classification,hard,hard,False,escalated,0.0,0.0,375,851,False,fallback_required
q262,sentiment_classification,hard,easy,False,escalated,0.0,0.0,338,723,False,fallback_required
q271,sentiment_classification,hard,hard,False,escalated,0.0,0.0,294,767,False,fallback_required
q270,sentiment_classification,hard,easy,False,escalated,0.0,0.0,434,823,False,fallback_required
q273,sentiment_classification,hard,easy,False,escalated,0.0,0.0,345,814,False,fallback_required
q275,sentiment_classification,hard,easy,False,escalated,0.0,0.0,307,776,False,fallback_required
q272,sentiment_classification,hard,easy,False,escalated,0.0,0.0,397,823,False,fallback_required
q274,sentiment_classification,hard,hard,False,escalated,0.0,0.0,391,679,False,fallback_required
q278,sentiment_classification,hard,hard,False,escalated,0.0,0.0,314,730,False,fallback_required
q276,sentiment_classification,hard,easy,False,escalated,0.0,0.0,305,776,False,fallback_required
q279,sentiment_classification,hard,hard,False,escalated,0.0,0.0,287,753,False,fallback_required
q280,sentiment_classification,hard,easy,False,escalated,0.0,0.0,305,676,False,fallback_required
q277,sentiment_classification,hard,hard,False,escalated,0.0,0.0,395,860,False,fallback_required
q282,sentiment_classification,hard,easy,False,escalated,0.0,0.0,357,659,False,fallback_required
q283,sentiment_classification,hard,easy,False,escalated,0.0,0.0,384,744,False,fallback_required
q281,sentiment_classification,hard,hard,False,escalated,0.0,0.0,340,817,False,fallback_required
q293,sentiment_classification,hard,easy,False,escalated,0.0,0.0,316,693,False,fallback_required
q285,sentiment_classification,hard,easy,False,escalated,0.0,0.0,215,686,False,fallback_required
q289,sentiment_classification,hard,hard,False,escalated,0.0,0.0,352,826,False,fallback_required
q287,sentiment_classification,hard,easy,False,escalated,0.0,0.0,360,829,False,fallback_required
q284,sentiment_classification,hard,hard,False,escalated,0.0,0.0,331,801,False,fallback_required
q288,sentiment_classification,hard,hard,False,escalated,0.0,0.0,388,671,False,fallback_required
q290,sentiment_classification,hard,easy,False,escalated,0.0,0.0,285,604,False,fallback_required
q292,sentiment_classification,hard,hard,False,escalated,0.0,0.0,341,758,False,fallback_required
q297,sentiment_classification,hard,hard,False,escalated,0.0,0.0,377,696,False,fallback_required
q286,sentiment_classification,hard,easy,False,escalated,0.0,0.0,355,822,False,fallback_required
q298,sentiment_classification,hard,hard,False,escalated,0.0,0.0,329,650,False,fallback_required
q291,sentiment_classification,hard,easy,False,escalated,0.0,0.0,294,719,False,fallback_required
q310,sentiment_classification,hard,easy,False,escalated,0.0,0.0,531,849,False,fallback_required
q299,sentiment_classification,hard,easy,False,escalated,0.0,0.0,304,779,False,fallback_required
q325,sentiment_classification,hard,easy,False,escalated,0.0,0.0,316,745,False,fallback_required
q300,sentiment_classification,hard,hard,False,escalated,0.0,0.0,450,856,False,fallback_required
