id,category,difficulty_pool,label_gt,handled_locally,sentiment_label,confidence,margin,answer_tokens,judge_tokens,correct,reason
q197,sentiment_classification,easy,easy,True,Positive,0.9752,0.9553,0,369,True,
q194,sentiment_classification,easy,easy,True,Positive,0.987,0.979,0,382,True,
q199,sentiment_classification,easy,easy,True,Positive,0.987,0.9766,0,431,True,
q201,sentiment_classification,easy,easy,False,escalated,0.0,0.0,91,437,True,fallback_required
q202,sentiment_classification,easy,easy,False,escalated,0.0,0.0,113,470,True,fallback_required
q198,sentiment_classification,easy,easy,True,Positive,0.9879,0.9802,0,521,True,
q203,sentiment_classification,easy,easy,True,Positive,0.991,0.9854,0,393,True,
q205,sentiment_classification,easy,easy,True,Positive,0.9891,0.9814,0,422,True,
q208,sentiment_classification,easy,easy,True,Negative,0.9505,0.9075,0,378,True,
q200,sentiment_classification,easy,hard,True,Positive,0.9873,0.9794,0,463,True,
q207,sentiment_classification,easy,easy,True,Positive,0.991,0.9855,0,488,True,
q210,sentiment_classification,easy,easy,False,escalated,0.0,0.0,124,426,True,fallback_required
q209,sentiment_classification,easy,easy,False,escalated,0.0,0.0,125,561,True,fallback_required
q213,sentiment_classification,easy,easy,True,Positive,0.9908,0.9851,0,449,True,
q211,sentiment_classification,easy,easy,True,Positive,0.9831,0.9697,0,380,True,
q215,sentiment_classification,easy,easy,True,Positive,0.9903,0.9844,0,446,True,
q217,sentiment_classification,easy,easy,True,Positive,0.9895,0.9831,0,420,True,
q218,sentiment_classification,easy,easy,True,Positive,0.9905,0.9841,0,427,True,
q212,sentiment_classification,easy,easy,True,Positive,0.9899,0.984,0,404,True,
q216,sentiment_classification,easy,easy,True,Positive,0.988,0.9797,0,587,False,
q219,sentiment_classification,easy,easy,True,Positive,0.9879,0.98,0,429,True,
q220,sentiment_classification,easy,easy,True,Positive,0.9831,0.969,0,418,True,
q221,sentiment_classification,easy,easy,False,escalated,0.0,0.0,93,400,True,fallback_required
q223,sentiment_classification,easy,easy,True,Positive,0.99,0.9834,0,431,True,
q222,sentiment_classification,easy,easy,True,Positive,0.9895,0.9825,0,374,True,
q224,sentiment_classification,easy,easy,False,escalated,0.0,0.0,145,417,True,fallback_required
q228,sentiment_classification,easy,easy,False,escalated,0.0,0.0,90,431,True,fallback_required
q225,sentiment_classification,easy,easy,True,Negative,0.9164,0.839,0,404,True,
q226,sentiment_classification,easy,easy,True,Positive,0.9577,0.9201,0,422,True,
q229,sentiment_classification,easy,easy,True,Negative,0.9405,0.8866,0,434,True,
q227,sentiment_classification,easy,easy,True,Negative,0.9446,0.8958,0,387,True,
q230,sentiment_classification,easy,easy,True,Positive,0.9897,0.9833,0,480,True,
q234,sentiment_classification,easy,easy,True,Positive,0.9545,0.9137,0,399,True,
q231,sentiment_classification,easy,easy,True,Negative,0.9538,0.9133,0,466,True,
q235,sentiment_classification,easy,easy,False,Negative,0.0,0.0,97,400,True,fallback_required
q236,sentiment_classification,easy,easy,True,Negative,0.9557,0.9161,0,419,True,
q233,sentiment_classification,easy,easy,True,Positive,0.9905,0.9846,0,410,True,
